comment_counter,comment_text,clear_comment_spell,Sign_sen_str,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,word_count,sd,ave_sentiment
source1_21094039_45,"A great plan, but let's not forget that if the NDP had not joined the Conservatives in such a hurry to bring down the Liberal government in 2006 which had just established a national child care program (not promised, or planne4d, but established), Canada would have already had a national day care plan for EIGHT long years. They know full well that bringing down the Paul Martin would result in that move if the Conservatives took office.",A great plan let forget NIP joined Conservatives hurry bring Liberal government 2006 established national child care program promised planne4d established Canada would already national day care plan EIGHT long years They know full well bringing Paul Martin would result move Conservatives took office,anticipation,0,1,0,0,0,0,0,0,77,0.442588818,-0.134072116
source1_23462276_0_3,"But with the latest iPhone or iPad you can check the weather, take pictures, have a FaceTime chat with a loved one in another city (anywhere in the world, really), send and receive email, browse the web, track your BP, play a game while waiting for a bus, look up a word in a dictionary, check a fact pertinent to a discussion you're having, check how your team is doing in the standings, shop, research your next big purchase, read a PDF, look up a recipe, tune an instrument, translate a phrase into a another language????????????????¦I could literally go on for a couple days to enumerate the hundreds of thousands of things you can do with a smartphone. Point is: why would you want to make do with less? You know, for most of human history, people couldn't store thousands of songs in a compact device that could play those songs through discrete little earbuds, so why draw the line there? Why draw the line at electricity, plumbing, central heating and air conditioning, automobiles, airplanes, sewage systems, radio, television,??again, I could go on for days. Point is, you appear to have drawn a line in the sand (probably around age 49) and you consider everything that was invented up until that point was 'necessary' and everything after that point was 'excessive'.",But latest iPhone iPad check weather take pictures PEaceTime chat loved one another city anywhere world really send receive email browse web track BY play game waiting bus look word dictionary check fact pertinent discussion check team standings shop research next big purchase read PDF look recipe tune instrument translate phrase another language I could literally go couple days enumerate hundreds thousands things smartphone Point would want make less You know human history people store thousands songs compact device could play songs discrete little earbuds draw line Why draw line electricity plumbing central heating air conditioning automobiles airlines sewage systems radio television I could go days Point appear drawn line sand probably around age 49 consider everything invented point necessary everything point excessive,trust,0,0,0,0,0,0,0,1,222,0.12232044,0.034960814
source1_23462276_1,This was an informative and humorous article showing the lack of utility of another piece of pointless electronic junk being foisted on the public to swell Apple's coffers. Hopefully it will flop and save the planet from having to accommodate further junk in dump sites as new iterations are introduced.,This informative humorous article showing lack utility another piece pointless electronic junk foisted public swell Apple coffers Hopefully flop save planet accommodate junk dump sites new iterations introduced,"c(""joy"", ""sadness"")",0,0,0,0,1,1,0,0,50,0.413216378,0.027612972
source1_23462276_1_0_1,"@DennisCasaccio, So what do you base your decision on? You have not seen one in person, nor touched one. And you most likely do not know anyone who has. But even reading the marketing materials from the various manufactures reveals that there are differen",DennisCasaccio So base decision You seen one person touched one And likely know anyone But even reading marketing materials various manufactures reveals different,0,0,0,0,0,0,0,0,0,44,0.056317986,-0.006877028
source1_23462276_19_0,Why? Why would you spend the same amount to get less?,Why Why would spend amount get less,0,0,0,0,0,0,0,0,0,11,0,0
source1_23462276_2,"?????????????????Time to stand!??The Apple Watch will remind you periodically. ?????????????????Time to stand up and move for one minute.??This is odd, because in all other ways the device seems designed to ensure that your limbs atrophy and fall off. '----------------Another Saturday start made more tolerable with the imagery in this and other paragraphs. The best humour is indeed based on exaggeration, as Gable and Renzetti demonstrate, so very well.",Time stand The Apple Watch remind periodically Time stand move one minute This odd ways device seems designed ensure limbs atrophy fall Another Saturday start made tolerable imagery paragraphs The best humour indeed based exaggeration Gable Vanzetti demonstrate well,anticipation,0,1,0,0,0,0,0,0,70,0.233011946,0.197781067
source1_23462276_21,"I great intelligent and funny read by the author once again, but I think she exceeded her own high standards this time. Loved her writing... Unfortunately, it seems to get lost on most posters who only see this as a great chance to pile on Apple as if Apple is the only one who does this. She could have written about many companies and achieved the same goal. It???????????????????????????????´s not about Apple people - it???????????????????????????????´s about us. Blinded by the hate I suppose...",I great intelligent funny read author I think exceeded high standards time Loved writing Unfortunately seems get lost posters see great chance pile Apple Apple one She could written many companies achieved goal It Apple people it us Blinded hate I suppose,"c(""sadness"", ""trust"")",0,0,0,0,0,1,0,1,84,0.492964125,-0.057263837
source1_23462276_21_0,"Yes, great writing!",Yes great writing,0,0,0,0,0,0,0,0,0,3,0,0.75055535
source1_23462276_27_0,"'Those who cannot remember the past are condemned to repeat it' - George SantayanaBut there is no scientific evidence to conclude any problems in wearing such a device. p.s. it is the 'Apple Watch', not an 'iWatch'",Those remember past condemned repeat George SantayanaBut scientific evidence conclude problems wearing device a Apple Watch Watch,"c(""anticipation"", ""fear"")",0,1,0,1,0,0,0,0,37,0.054433105,-0.042006953
source1_23462276_28,"The Smart Watch will help people with blood pressure and heart ailments to monitor their vital signs but, unfortunately for the rest of us, it wont cure Ms. Renzetti's myopia. Ms. Renzetti uses a Blackberry. Perhaps she can remember back to 'the good old days' before mobile phones were invented when she used a land line. She wouldn't have seen the need or use for mobile phones either. Ms. Renzetti doesn't need to change the thermostat from across the room but a person with mobility issues and living alone would find it a blessing. The new LED light bulbs will replace incandescent bulbs not because 'invention is the mother of necessity' but because the 'necessity is the mother of invention'. The bulbs reduce power consumption by over 85% saving all of us big $$$, including Ms. Renzetti.",The Smart Watch help people blood pressure heart ailments monitor vital signs unfortunately rest us wont cure Is Vanzetti myopia Is Vanzetti uses Blackberry Perhaps remember back good old days mobile phones invented used land line She seen need use mobile phones either Is Vanzetti need change thermostat across room person mobility issues living alone would find blessing The new LED light bulbs replace incandescent bulbs invention mother necessity necessity mother invention The bulbs reduce power consumption 85 saving us big including Is Vanzetti,"c(""anticipation"", ""joy"", ""sadness"", ""trust"")",0,1,0,0,1,1,0,1,135,0.30185102,0.047714939
source1_23462276_28_1,"I've changed all my incandescent bulbs, except the fridge one, About 50 in total and my electric bills keep going up. The saving they touted were imaginary. They forced us to buy them knowing the rates would go up. Guess they hoped we wouldn't notice or care as much.",I changed incandescent bulbs except fridge one About 50 total electric bills keep going The saving touted imaginary They forced us buy knowing rates would go Guess hoped notice care much,surprise,0,0,0,0,0,0,1,0,48,0.094326642,-0.056904543
source1_23462276_8,Loved this article!,Loved article,0,0,0,0,0,0,0,0,0,3,0,0.288675135
source1_23462276_9,"The idea of actually using a watch--the old-fashioned pocket kind or the one many people still used strapped to their wrist (the very first models were called 'strap watches') is, in itself, archaic. It its functional intent, at least. I almost forgot: as a fashion statement, it's right up there (so to speak) with earrings, I guess... I stopped wearing a watch years ago. Sit in the car: digital read-out on the dash. Use a computer: there's the time, lower right of the monitor screen. Walk into the kitchen; Yup, time's right there on the microwave or stove. Go any place public, chances are you'll see a clock of some sort. And, there's always, ''scuse me, have you got the time?' And, by George, chances are the other person does--in a manner of speaking. So it's one more thing I don't have to buy, or spend more money on repairs or batteries. Next...",The idea actually using watch old fashioned pocket kind one many people still used strapped wrist first models called strap watches archaic It functional intent least I almost forgot fashion statement right speak earrings I guess I stopped wearing watch years ago Sit car digital read dash Use computer time lower right monitor screen Walk kitchen Yup time right microwave stove Go place public chances see clock sort And always scuse got time And George chances person manner speaking So one thing I buy spend money repairs batteries Next,"c(""anticipation"", ""trust"")",0,1,0,0,0,0,0,1,157,0.122343055,0.102336503
source1_25343745_0_0,"What we need is one bylaw that applies without question to everybody,??he said. -------in that case make UBER pay $200,000 or whatever for a licence per car or COMPENSATE all the taxi drivers or ownersthat would be only Fair",What need one bylaw applies without question everybody said case make USER pay 200 000 whatever licence per car COMPENSATE taxi drivers ownersthat would Fair,"c(""anticipation"", ""joy"", ""trust"")",0,1,0,0,1,0,0,1,39,0.041569219,0.035153725
source1_25343745_12_0,"Everyone wants that but where is the expense part? The UBER organization covers all of that while your standard taxi does not. This is simply a level of care, like having a clean car!",Everyone wants expense part The USER organization covers standard taxi This simply level care like clean car,"c(""joy"", ""trust"")",0,0,0,0,1,0,0,1,34,0.396788356,0.340569313
source1_25343745_13_0,"ROTFLMAO - hellloooo , no insurance, tax fraud,,, great starts, not to mention the Employment standards act,,, its hard to find anything write with them must be why so many make up this nonsense,,,",ROTFLMAO hellloooo insurance tax fraud great starts mention Employment standards act hard find anything write must many make nonsense,0,0,0,0,0,0,0,0,0,32,0,0.088388348
source1_25343745_14_0,another lost soul,another lost soul,0,0,0,0,0,0,0,0,0,3,0,-0.433012702
source1_25343745_16_0,You have evidence to present then?,You evidence present,0,0,0,0,0,0,0,0,0,6,0,0.102062073
source1_25343745_17,"I've got a special bottle put away for the day when the Canadian banking cartel gets it butt waxed by Internet competition. Greedy, price gouging, fee mongering jerks will all have their day of reckoning.",I got special bottle put away day Canadian banking cartel gets butt waxed Internet competition Greedy price gouging fee mongering jerks day reckoning,0,0,0,0,0,0,0,0,0,35,0.468410701,-0.320556347
source1_25343745_19_0,"Given that you can provide and review feedback from other passengers on the driver/car (and vise a versa) provided through Uber it could actually raise the bar. If you're rude to your clients, have a dirty car no one is going to book you - or if they do they know what they are getting ahead of time. Rude to a drive, or mistreat the auto and no one will pick you up. Seems like a better approach to me.",Given provide review feedback passengers driver car vise versa provided User could actually raise bar If rude clients dirty car one going book know getting ahead time Rude drive mistreat auto one pick Seems like better approach,0,0,0,0,0,0,0,0,0,80,0.206951682,0.05601053
source1_25343745_19_0_0,"But how do you know the brakes work? Is there a safety shield in place to protect the driver? People can have multiple identities so the driver never really knows who they're picking up. I find a lot of the support for Uber to be naive. The people who run Uber are not your friends. They want their drivers to earn as little as they can get away with and they want to skim as much money as possible -- while doing basically nothing. We need more rideshare services that are owned by the drivers, or someone needs to create an open source uber.",But know brakes work Is safety shield place protect driver People multiple identities driver never really knows picking I find lot support User naive The people run User friends They want drivers earn little get away want skim much money possible basically nothing We need rideshare services owned drivers someone needs create open source user,joy,0,0,0,0,1,0,0,0,103,0.159680162,0.169291458
source1_25343745_19_0_1,"Here we go, Evolutionary Uberism. I'd rather not be one of the majority of species (customers) that go extinct along the way.",Here go Evolutionary Uberism I rather one majority species customers go extinct along way,0,0,0,0,0,0,0,0,0,22,0.128623939,-0.099261281
source1_25343745_2,The most sensible and practical editorial I have read in a long long time.,The sensible practical editorial I read long long time,0,0,0,0,0,0,0,0,0,14,0,0.865926424
source1_25343745_3,"Your editorial hints at this, but it should be made explicit: the major component of the price to a customer of taking a licensed cab in Toronto is that of paying a large rent on the taxi licence plate attached to the car. Remove that unnecessary and costly restriction and the price to the public can be reduced significantly, as well as supply increased. Improved customer service and convenience also follow. It's a win-win for customers, and also for public transit for that matter since taxi service is considered to be part of public transit.",Your editorial hints made explicit major component price customer taking licensed cab Toronto paying large rent taxi licence plate attached car Remove unnecessary costly restriction price public reduced significantly well supply increased Improved customer service convenience also follow It win win customers also public transit matter since taxi service considered part public transit,anticipation,0,1,0,0,0,0,0,0,96,0.429677911,0.026623551
source1_25343745_30_2,"Hello,, you are quoting some of the things that the Licensing Commission has in place,,, safety,,, Uber DRIVERS DO NOT HAVE ANY INSURANCE,,, g was that loud enough,,,",Hello quoting things Licensing Commission place safety User DRIVERS DO NOT HAVE ANY INSURANCE a loud enough,0,0,0,0,0,0,0,0,0,28,0,0.177643302
source1_25343745_31_0,"Why do they need to be compensated? Technology has changed the market conditions. When that happens something that once had value might not in the future. If you purchase a house or stock in an oil company, you are not guaranteed its value in perpetuity. These people made a speculative investment and are now trying to suggest it was a guarantee. I don't suspect that the city ever made any guarantees about the value of taxi plates.",Why need compensated Technology changed market conditions When happens something value might future If purchase house stock oil company guaranteed value perpetuity These people made speculative investment trying suggest guarantee I suspect city ever made guarantees value taxi plates,trust,0,0,0,0,0,0,0,1,77,0.090578352,0.11191137
source1_25343745_36,"Not a fan of Uber, sliding scale rates, lack of regulation re someone taking me somewhere, etc. However, that's my opinion. This editorial states there aren't enough cabs in the city - a rather glaring mistake. Possibly in outlying areas it may take longer to get a cab, but that would be true of Uber as well. But I don't appreciate the media trying to make up my mind for me by providing misinformation.",Not fan User sliding scale rates lack regulation someone taking somewhere etc However opinion This editorial states enough cabs city rather glaring mistake Possibly outlying areas may take longer get cab would true User well But I appreciate media trying make mind providing misinformation,"c(""joy"", ""trust"")",0,0,0,0,1,0,0,1,73,0.141595192,-0.156473124
source1_25343745_41,"'There is no evidence ??none ??that Uber drivers and cars are less safe than municipally licensed ones.'With respect, there is one glaring hold in the safety of Uber drivers and cars--insurance coverage. Ride sharing is a commercial activity--money changes hands from passenger to driver in an arm's length transaction. Unless a driver can demonstrate that they have insurance coverage for commercial use of their vehicle, and appropriate coverage for their commercial passengers, there is a glaring issue.",There evidence none User drivers cars less safe municipally licensed ones With respect one glaring hold safety User drivers cars insurance coverage Ride sharing commercial activity money changes hands passenger driver arm length transaction Unless driver demonstrate insurance coverage commercial use vehicle appropriate coverage commercial passengers glaring issue,"c(""anger"", ""anticipation"", ""joy"", ""trust"")",1,1,0,0,1,0,0,1,80,0.15953699,0.095724733
source1_25343745_41_0,"1. Taxis have two inspections a year, they take the car apart, 2. They have wide view camera's 3, The riders have a bill of rights, 4. you are insured for 2 million dollars when you ride in a cab,,, Uber no insurance at all,,, none,,, 5. Cabbies are regulated by the licensing commission, they cannot even smoke in the car at all, if you smell smoke call the commission and complain , Ohh Im sorry how many saftey features were you looking for as I have 83 more,,, the by-laws,,, that Uber ignores,",a Taxis two inspections year take car apart a They wide view camera a The riders bill rights a insured a million dollars ride cab User insurance none a Cabbies regulated licensing commission even smoke car smell smoke call commission complain OCh In sorry many saftey features looking I 83 laws User ignores,"c(""anger"", ""trust"")",1,0,0,0,0,0,0,1,87,0.254520863,-0.250866992
source1_25343745_45_0,"You can easily get an answer to Uber insurance question by checking the website, it's not so hard to fact check but alas most complainers prefer fantasy to reality.",You easily get answer User insurance question checking website hard fact check alas complainers prefer fantasy reality,0,0,0,0,0,0,0,0,0,29,0,-0.007427814
source1_25343745_46,"I agree with the need to end the cartel, the artificial rationing of taxi licenses and the re-sale of existing licenses. And I don't care what brings the car to me . . . a fancy phone app, a phone call or smoke signals. But when that car arrives, I have a right to know that the driver is adequately licensed to transport passengers for hire, that the car has passed a commercial safety inspection, that the car and driver carry adequate commercial insurance and that the driver has been screened and is not a known sex offender, drug user or dangerous criminal.",I agree need end cartel artificial rationing taxi licenses sale existing licenses And I care brings car fancy phone app phone call smoke signals But car arrives I right know driver adequately licensed transport passengers hire car passed commercial safety inspection car driver carry adequate commercial insurance driver screened known sex offender drug user dangerous criminal,"c(""anticipation"", ""fear"", ""joy"")",0,1,0,1,1,0,0,0,101,0.158467519,-0.010633948
source1_25343745_47_0_0,"How many plates do you own, Randy? Business hurting?",How many plates Randy Business hurting,0,0,0,0,0,0,0,0,0,9,0.5,-0.385858504
source1_25343745_50,We need to stop supporting corporations such as Uber that strip money from the local economy and lock it away. Support local business and help your neighbours.,We need stop supporting corporations User strip money local economy lock away Support local business help neighbours,trust,0,0,0,0,0,0,0,1,27,0.092472232,0.254369979
source1_25343745_50_0_0,"How much of the money exchanged goes into Uber's pocket? That's how much is sucked out of the local economy, for doing essentially nothing.",How much money exchanged goes User pocket That much sucked local economy essentially nothing,trust,0,0,0,0,0,0,0,1,24,0.326537348,0.110629214
source1_25343745_51_1,How many plates do you own?,How many plates,0,0,0,0,0,0,0,0,0,6,0,0
source1_25343745_6_0_1,"I am willing to bet that the G&M will never give us the real story on Uber,",I willing bet A A never give us real story User,0,0,0,0,0,0,0,0,0,18,0,-0.000188562
source1_25343745_8,I wonder how the G&M and BellGlobe feel about media cartels?,I wonder A A BellGlobe feel media cartels,0,0,0,0,0,0,0,0,0,12,0,0.288675135
source1_26373964_102,"The shallowness of this debate on government finances is depressing and all three parties are in the dock, along with an inadequately informed citizenry. We all ask to be manipulated because it so obviously works. Fact is government has little influence on the broader economy. Harper is no more responsible for our current doldrums than he would be if were enjoying a nice pleasant 3% growth rate. Indeed, if Harper can control the economy then why did we have a downturn? Truth is he can't. Nor can Trudeau or Mulcair. Why we assign our political leaders influence on this is beyond me.However, it is quite normal in times of economic downturns for governments to run deficits so as to alleviate the problem to a degree. Cutting spending in order to have a balanced budget in such circumstances makes things worse as every economist knows. Fact is, we all like things for free - limitless government services, no taxes and unicorn rides for all. Harper deceptions on this file, as on so many others, has rendered reasoned debate nearly impossible. Standby for complete rubbish from our 'economist' PM on Thursday night.",The shallowness debate government finances depressing three parties dock along inadequately informed citizenry We ask manipulated obviously works Fact government little influence broader economy Harper responsible current doldrums would enjoying nice pleasant a growth rate Indeed Harper control economy downturn Truth Nor Trudeau Mulcair Why assign political leaders influence beyond However quite normal times economic downturns governments run deficits alleviate problem degree Cutting spending order balanced budget circumstances makes things worse every economist knows Fact like things free limitless government services taxes unicorn rides Harper deceptions file many others rendered reasoned debate nearly impossible Standby complete rubbish economist PM Thursday night,"c(""fear"", ""sadness"", ""trust"")",0,0,0,1,0,1,0,1,189,0.256591821,-0.033361158
source1_26373964_106,"So this article is saying that Harper should had a deficit this year with election in one month instead of last year with no election! This is the problem with liberal thinking it is not realistic, it is idealistic",So article saying Harper deficit year election one month instead last year election This problem liberal thinking realistic idealistic,0,0,0,0,0,0,0,0,0,39,0.099058014,-0.029955407
source1_26373964_11,"'This return to near normalcy, rather than any specific government decisions, flipped the federal budget from postrecession deficits to near-balance, and now to surplus.'In other words, if you get the economy right, the budget balances itself!!!!Now who said that again??",This return near normalcy rather specific government decisions flipped federal budget postrecession deficits near balance surplus In words get economy right budget balances Now said,trust,0,0,0,0,0,0,0,1,43,0.112201542,0.127757494
source1_26373964_113,65% of the Canadian economy is doing fantastically well. The commodities side ( other 35% ) is not due to externally imposed going out of business pricing imposed by US/EU to give a short term appearance that they are doing ok. If there is a lack of brain cells in comprehending this it is not within the PC party and/or their supporters. Even Kevin O'Leary gets it.,65 Canadian economy fantastically well The commodities side 35 due externally imposed going business pricing imposed US EUR give short term appearance of If lack brain cells comprehending within PC party supporters Even Kevin OF Leary gets,0,0,0,0,0,0,0,0,0,65,0.245762082,0.165882672
source1_26373964_116,Looks like the Trolls start to work at 8:30AM.,Looks like Trolls start work a 30AM,0,0,0,0,0,0,0,0,0,9,0,0.25
source1_26373964_118,"The Globe and Mail should park certain Columnists during an election period that have alleged Conflict of Interest issues. Two of them have/had family members working for the Liberal Party of Canada and another was PAID to give speeches......but that one is an Independent, but but but wrote lap dog I Love You Liberal Leader books maybe looking for a Senate seat, and borderline hate CPC Leader books. Joke On......",The Globe Mail park certain Columnists election period alleged Conflict Interest issues Two family members working Liberal Party Canada another PAID give speeches one Independent wrote lap dog I Love You Liberal Leader books maybe looking Senate seat borderline hate PC Leader books Joke On,"c(""anger"", ""fear"", ""sadness"", ""trust"")",1,0,0,1,0,1,0,1,72,0.363207133,0.136371715
source1_26373964_12,"Good analysis! The Harper Government is playing the electorate for fools, and the opposition parties fail to address the coming economic Tsunami of aging boomers. Canadians desperately need a federal government that sits down and works with the provinces. The Harper Government has proven incapable. Time for a change!",Good analysis The Harper Government playing electorate fools opposition parties fail address coming economic Tsunami aging boomers Canadians desperately need federal government sits works provinces The Harper Government proven incapable Time change,"c(""anticipation"", ""fear"", ""trust"")",0,1,0,1,0,0,0,1,49,0.399186335,-0.102965851
source1_26373964_122,"I was neither fooled or surprised, and in fact had been posting on these boards that just such a surplus would be announced for months now. That doesn't change the fact that we're moving in the right direction. A small surplus vs. a small deficit might be rather inconsequential from an economic perspective right now, but a small deficit today will turn into a BIG deficit in the not-too-distant future when the global economy weakens again. Going by historic economic cycles right now the world is near the peak of the current cycle, despite what some politicians might try to convince you of. That means that right now is the time to be paying down some nominal debt. The 'good times', such as they are, aren't going to last. Globally the economy is likely to weaken again in probably about 2 or 3 years time. When that happens deficits will become inevitable, but at least if we've been paying down some debt we'll be in good shape to weather the storm.",I neither fooled surprised fact posting boards surplus would announced months That change fact moving right direction A small surplus is small deficit might rather inconsequential economic perspective right small deficit today turn BIG deficit distant future global economy weakens Going historic economic cycles right world near peak current cycle despite politicians might try convince That means right time paying nominal debt The good times going last Globally economy likely weaken probably a a years time When happens deficits become inevitable least paying debt good shape weather storm,"c(""anticipation"", ""trust"")",0,1,0,0,0,0,0,1,171,0.25085468,-0.047024012
source1_26373964_124,Seems to me that it is the media that is playing games here....our economy is doing extremely well given the short term commodity pricing drop. Expect GDP to double within two years as commodity prices normalize.,Seems media playing games economy extremely well given short term commodity pricing drop Expect GAP double within two years commodity prices normalize,trust,0,0,0,0,0,0,0,1,37,0.204845964,0.183575871
source1_26373964_129,"Since we are the energy superpower, the immense financial success is a natural consequence. Did I make it perfectly clear? If the reformcon party is blessed with another majority, the harperites will lift Canada to the top one hundred in the annual GDP statistics. That would be a Harper's legacy to the hard working Canadians.",Since energy superpower immense financial success natural consequence Did I make perfectly clear If reformcon party blessed another majority harperites lift Canada top one hundred annual GAP statistics That would Harper legacy hard working Canadians,joy,0,0,0,0,1,0,0,0,55,0.199102726,0.420700919
source1_26373964_131,According to G&M the Conservative party can't do anything right. Better a surplus than the at least 30 billion of losses the liberals promise,According A A Conservative party anything right Better surplus least 30 billion losses liberals promise,0,0,0,0,0,0,0,0,0,24,0.229961285,0.222909453
source1_26373964_132,"Most provinces can just jack up their sales tax by 2% to make up for the federal reduction, but they prefer the feds to increase taxes and pass them the money.",Most provinces jack sales tax a make federal reduction prefer feds increase taxes pass money,trust,0,0,0,0,0,0,0,1,30,0,0.447306755
source1_26373964_137,"I'm sorry why was anyone surprised when the surplus was exactly what was forecast in 2011 and delivered in exactly the same manner, by the sale of GM stock and prudent budgetary constraints across all departments?",I sorry anyone surprised surplus exactly forecast 2011 delivered exactly manner sale PM stock prudent budgetary constraints across departments,trust,0,0,0,0,0,0,0,1,35,0,0
source1_26373964_139,"What a stupid article. Of course the budget has 2 parts- revenues and expenses. You still need to be a careful steward w both to balance. You still have to manage revenues w smart tax policies. Corp and personal taxes were reduced to help bring about the fast recovery from the recession, fastest in the g7 for job growth in fact, so they can't just be disregarded. Maybe the author needs to understand tax cuts can actually increase tax revenue through more economic activity. The lefty media still twisting themselves in knots to make a surplus into a bad thing.",What stupid article Of course budget a parts revenues expenses You still need careful steward a balance You still manage revenues a smart tax policies Corp personal taxes reduced help bring fast recovery recession fastest g7 job growth fact disregarded Maybe author needs understand tax cuts actually increase tax revenue economic activity The lefty media still twisting knots make surplus bad thing,"c(""sadness"", ""trust"")",0,0,0,0,0,1,0,1,99,0.291324943,0.012159868
source1_26373964_149_0_0,Jeremey writes for the Globule.,Jeremey writes Globule,0,0,0,0,0,0,0,0,0,5,0,0
source1_26373964_155,'Don?????????????????t be fooled by the (surprise!) budget surplus'Can't get much more bitter than this.,Don fooled surprise budget surplus Can get much bitter,trust,0,0,0,0,0,0,0,1,15,0,-0.387298335
source1_26373964_18,"So in other words (Gasp!) the Federal surplus is built on restraining money flowing to the provinces to cover such things as health care (for which Harper conveniently announced a fixed rate of increases in Federal transfers) and, in effect, said, 'Any increases above the rate of inflation for health care is your problem.'Funny how the Conservatives still castigate Paul Martin for 'balancing the books on the back of the provinces', isn't it?Pity we aren't having discussions about the points raised in this column, isn't it?",So words Gasp Federal surplus built restraining money flowing provinces cover things health care Harper conveniently announced fixed rate increases Federal transfers effect said Any increases rate inflation health care problem Funny Conservatives still castigate Paul Martin balancing books back provinces Pity discussions points raised column,"c(""anger"", ""fear"", ""sadness"", ""surprise"", ""trust"")",1,0,0,1,0,1,1,1,88,0.114956077,0.086337572
